element,species,degeneracy,energy_ev
Ar,1,11,15.48
Ar,1,9,15.48
Ar,1,7,15.48
Ar,1,7,15.48
Ar,1,9,15.48
Ar,1,15,15.48
Ar,1,13,15.48
Ar,1,3,15.5
Ar,1,1,15.51
Ar,1,7,15.5
Ar,1,5,15.51
Ar,1,5,15.51
Ar,1,3,15.53
Ar,1,3,15.51
Ar,1,5,15.51
Ar,1,5,15.51
Ar,1,7,15.52
Ar,1,3,15.51
Ar,1,1,15.52
Ar,1,9,15.53
Ar,1,7,15.53
Ar,1,5,15.53
Ar,1,3,15.59
Ar,1,5,15.53
Ar,1,7,15.53
Ar,1,5,15.54
Ar,1,3,15.54
Ar,1,1,15.54
Ar,1,3,15.54
Ar,1,3,15.55
Ar,1,5,15.55
Ar,1,9,15.55
Ar,1,11,15.55
Ar,1,7,15.55
Ar,1,5,15.55
Ar,1,9,15.55
Ar,1,7,15.55
Ar,1,7,15.56
Ar,1,9,15.56
Ar,1,7,15.56
Ar,1,5,15.56
Ar,1,11,15.56
Ar,1,9,15.56
Ar,1,9,15.56
Ar,1,7,15.56
Ar,1,3,15.56
Ar,1,1,15.57
Ar,1,7,15.56
Ar,1,5,15.56
Ar,1,3,15.56
Ar,1,5,15.56
Ar,1,1,15.57
Ar,1,3,15.57
Ar,1,9,15.58
Ar,1,7,15.58
Ar,1,5,15.58
Ar,1,3,15.59
Ar,1,5,15.58
Ar,1,7,15.58
Ar,1,5,15.59
Ar,1,3,15.59
Ar,1,3,15.59
Ar,1,5,15.59
Ar,1,11,15.59
Ar,1,9,15.59
Ar,1,7,15.59
Ar,1,5,15.59
Ar,1,9,15.59
Ar,1,7,15.59
Ar,1,3,15.59
Ar,1,1,15.6
Ar,1,3,15.6
Ar,1,5,15.6
Ar,1,3,15.6
Ar,1,1,15.61
Ar,1,5,15.6
Ar,1,3,15.6
Ar,1,5,15.6
Ar,1,1,15.61
Ar,1,3,15.61
Ar,1,5,15.61
Ar,1,3,15.62
Ar,1,9,15.61
Ar,1,7,15.61
Ar,1,5,15.62
Ar,1,7,15.62
Ar,1,5,15.62
Ar,1,3,15.62
Ar,1,3,15.62
Ar,1,5,15.62
Ar,1,5,15.62
Ar,1,7,15.62
Ar,1,5,15.63
Ar,1,3,15.64
Ar,1,5,15.63
Ar,1,7,15.63
Ar,1,3,15.63
Ar,1,1,15.63
Ar,1,5,15.63
Ar,1,5,15.63
Ar,1,3,15.63
Ar,1,1,15.64
Ar,1,9,15.64
Ar,1,7,15.64
Ar,1,5,15.64
Ar,1,3,15.65
Ar,1,5,15.64
Ar,1,7,15.64
Ar,1,5,15.64
Ar,1,3,15.64
Ar,1,1,15.65
Ar,1,3,15.65
Ar,1,5,15.65
Ar,1,7,15.65
Ar,1,5,15.65
Ar,1,3,15.65
Ar,1,5,15.65
Ar,1,5,15.65
Ar,1,1,15.66
Ar,1,1,15.66
Ar,1,3,15.66
Ar,1,7,15.66
Ar,1,9,15.66
Ar,1,7,15.66
Ar,1,5,15.66
Ar,1,9,15.66
Ar,1,7,15.66
Ar,1,13,15.66
Ar,1,11,15.66
Ar,1,9,15.66
Ar,1,11,15.66
Ar,1,5,15.66
Ar,1,3,15.66
Ar,1,5,15.66
Ar,1,7,15.66
Ar,1,5,15.66
